range,attacker_weapon,outcome,subtype,attacker_role,defender_role,text,tags
near,small_knife,miss,evade,cop,trickster,刑事が刃を押し込む。愉快犯は首だけで線を外し、刃先を空へ逃がした。,
near,small_knife,miss,evade,cop,trickster,刑事が短く斬り込む。愉快犯は半歩ずらし、刃筋を紙一重で外した。,
near,small_knife,miss,evade,trickster,cop,愉快犯が刃をねじ込む。刑事は上体を引き、刃先だけを外した。,
near,small_knife,miss,evade,trickster,cop,愉快犯が素早く突く。刑事は肩を落とし、刃筋をすり抜けた。,
near,small_knife,miss,guard,cop,trickster,刑事の刃が走る。愉快犯は前腕で受け、刃先を外へ押し返した。,
near,small_knife,miss,guard,cop,trickster,刑事が短く突く。愉快犯は手首を叩き、刃先を落とした。,
near,small_knife,miss,guard,trickster,cop,愉快犯が斬り込む。刑事は前腕で受け、刃を内側へ寄せさせない。,
near,small_knife,miss,guard,trickster,cop,愉快犯が突く。刑事は肘で線を潰し、刃先を止めた。,
near,small_knife,miss,deflect,cop,trickster,刑事が刃を入れる。愉快犯は手首を払って刃筋を逸らし、踏み込みを空転させた。,
near,small_knife,miss,deflect,cop,trickster,刑事の刃が伸びる。愉快犯は肘で流し、線だけをずらした。,
near,small_knife,miss,deflect,trickster,cop,愉快犯が刃を通す。刑事は手首を払って線を逸らし、刃先を空へ逃がした。,
near,small_knife,miss,deflect,trickster,cop,愉快犯の刃が伸びる。刑事は肘で流し、芯だけを外す。,
near,small_knife,miss,clinch,cop,trickster,刑事が刃を押し込む。愉快犯は手首を掴み、刃の線を止めた。,
near,small_knife,miss,clinch,cop,trickster,刑事が間合いを潰す。愉快犯は腕を絡め、刃を近づけさせない。,
near,small_knife,miss,clinch,trickster,cop,愉快犯が刃を押し付ける。刑事は手首を掴み、線を固定した。,
near,small_knife,miss,clinch,trickster,cop,愉快犯が距離を潰す。刑事は腕を絡め、刃の角度を殺した。,
near,small_knife,hit,chip,cop,trickster,刑事の刃が浅く走る。愉快犯の袖が裂け、体勢が一瞬だけ浮いた。,defender_stance=stretched
near,small_knife,hit,chip,trickster,cop,愉快犯の刃が掠める。刑事は引くが遅れ、制服の裾が裂けた。,defender_stance=stretched
near,small_knife,hit,counter,cop,trickster,刑事がいなして返す。刃先が脇腹の線をかすめ、愉快犯の足が止まった。,tempo_flip=to_attacker
near,small_knife,hit,counter,trickster,cop,愉快犯が線をずらして返す。刃先が腕を浅く取って、刑事の踏み込みが鈍る。,tempo_flip=to_attacker
near,small_knife,hit,seize,cop,trickster,刑事が刃の線を押さえ込み、手首を固めた。愉快犯の自由が一段落ちる。,grapple+1
near,small_knife,hit,seize,trickster,cop,愉快犯が刃を盾に距離を押し潰し、腕を固めた。刑事の動きが一段鈍る。,grapple+1
